Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:20.7533520,46.04736,0.03392641,-0.03717489,-0.1297893,8.668822,1.521783,359.4543,0.09128518,-0.4076551,0.03512361,349.0742,358.4485,357.1399,0,0
2018/07/10 - 11:04:20.7653211,46.05831,0.03386331,-0.03713628,-0.1298408,8.666066,1.469355,359.4642,0.09137071,-0.4072057,0.03521404,348.8931,358.2835,357.2611,0,0
2018/07/10 - 11:04:20.7762904,46.06958,0.03380096,-0.03712586,-0.1299044,8.645713,1.427355,359.4893,0.09157941,-0.4068632,0.03554705,348.9719,358.1823,357.1759,0,0
2018/07/10 - 11:04:20.7862639,46.08096,0.03373223,-0.03710978,-0.1299499,8.648058,1.378592,359.4885,0.09189874,-0.4065977,0.03591173,349.0319,358.1263,356.9613,0,0
2018/07/10 - 11:04:20.7992328,46.09162,0.03364787,-0.03708551,-0.1299951,8.660311,1.332521,359.5497,0.09224089,-0.4063822,0.03624137,348.98,358.1609,356.8439,0,0
2018/07/10 - 11:04:20.8082067,46.10392,0.03356358,-0.03708218,-0.1299972,8.653766,1.295979,359.5805,0.09253867,-0.4062355,0.03659814,348.8419,358.3479,356.9479,0,0
2018/07/10 - 11:04:20.8201733,46.11387,0.03348564,-0.03704945,-0.1300034,8.668972,1.238061,359.5797,0.09280991,-0.4061219,0.0369974,348.6755,358.738,357.2306,0,0
2018/07/10 - 11:04:20.8311451,46.12488,0.03339051,-0.03706747,-0.1299751,8.668966,1.177244,359.6584,0.0932079,-0.4059304,0.03735787,348.6636,359.1085,357.3218,0,0
2018/07/10 - 11:04:20.8431117,46.13634,0.03332288,-0.03704673,-0.1299399,8.666564,1.13205,359.6276,0.09378193,-0.4056281,0.03760953,348.8004,359.3712,357.0666,0,0
2018/07/10 - 11:04:20.8530860,46.14759,0.03324177,-0.03702192,-0.1298846,8.665358,1.112609,359.6092,0.09429753,-0.4052564,0.03778207,348.9823,359.4647,356.7279,0,0
2018/07/10 - 11:04:20.8650659,46.15828,0.03316494,-0.0370648,-0.1298002,8.62519,1.048841,359.6343,0.09473121,-0.4047301,0.03779581,349.2247,359.4231,356.3099,0,0
2018/07/10 - 11:04:20.8750339,46.16921,0.03312291,-0.03705192,-0.129749,8.630486,1.024613,359.6274,0.09500711,-0.4041823,0.03757296,349.252,359.349,356.0585,0,0
2018/07/10 - 11:04:20.8860098,46.18,0.03306565,-0.03704319,-0.1296435,8.642466,0.9645813,359.6117,0.09498062,-0.403531,0.03697995,348.8409,359.2964,356.2275,0,0
2018/07/10 - 11:04:20.8979658,46.19102,0.03304799,-0.03705129,-0.1295267,8.657434,0.893187,359.6231,0.09486176,-0.4027956,0.03629128,348.2254,359.3686,356.705,0,0
2018/07/10 - 11:04:20.9079395,46.20257,0.03302005,-0.03704115,-0.1293528,8.670789,0.8737026,359.6162,0.09483502,-0.4018903,0.03556107,347.4979,359.6737,357.2742,0,0
2018/07/10 - 11:04:20.9199069,46.21323,0.03300639,-0.03705471,-0.1292021,8.672867,0.8572443,359.6095,0.09502439,-0.4009165,0.03493154,346.9926,0.1306421,357.5646,0,0
2018/07/10 - 11:04:20.9308770,46.22417,0.03299022,-0.03705617,-0.1289351,8.693612,0.824318,359.5603,0.09534171,-0.3997443,0.03428094,346.7582,0.5659264,357.5872,0,0
2018/07/10 - 11:04:20.9418483,46.23598,0.03300448,-0.03704272,-0.1287744,8.713809,0.8396335,359.5881,0.0956691,-0.398489,0.03359261,346.6359,0.7505414,357.3979,0,0
2018/07/10 - 11:04:20.9518209,46.24627,0.03306339,-0.03706449,-0.1284679,8.735927,0.8193135,359.5553,0.09593333,-0.3970635,0.03278121,346.55,0.6962277,357.0273,0,0
