Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 04:00:32.325441,190.1783,29,31,Peer missed,1.092309,0.3355148,-0.7171221,345.5349,12.81847,3.061494,1.236254,-0.002068339,-0.3799132,348.6741,7.049477,1.732324
2018/06/21 - 04:00:32.501999,190.3554,29,32,Peer hit peer's target,1.07728,0.3340273,-0.7197217,347.1908,352.8386,3.664862,1.163119,-0.02171916,-0.3942315,350.296,353.8312,358.2702
2018/06/21 - 04:00:32.547877,190.4,29,33,Peer hit peer's target,1.075724,0.3333104,-0.7205241,347.5639,348.9894,3.599022,1.14852,-0.02757815,-0.3994162,350.2632,350.6541,359.3631
2018/06/21 - 04:00:34.282459,192.1348,28,33,User missed,1.145738,0.3583404,-0.7106498,321.6633,296.6598,349.0945,1.00743,0.1649598,-0.576018,315.1414,292.9505,346.0367
2018/06/21 - 04:00:34.680490,192.5336,29,33,User hit user's target,1.147542,0.3508606,-0.6937387,330.7638,313.2167,346.5846,0.9883253,0.09676279,-0.4699742,330.0252,317.672,346.1265
2018/06/21 - 04:00:34.692454,192.5449,30,32,Peer hit user's target,1.147455,0.3504979,-0.6931772,331.2042,313.8633,346.5145,0.9875866,0.09412291,-0.4644527,330.951,318.4204,346.5012
2018/06/21 - 04:00:37.780723,195.6338,30,31,Peer missed,1.087769,0.3295238,-0.7682441,349.3266,257.2032,3.941453,0.9101408,-0.02580676,-0.7329395,350.0129,249.5519,359.4846
2018/06/21 - 04:00:39.037253,196.8891,30,32,Peer hit peer's target,1.226391,0.3465177,-0.6311112,333.2279,153.8649,12.38849,1.149922,0.08955978,-0.8402041,330.4362,146.7713,6.873239
2018/06/21 - 04:00:39.549698,197.4014,30,33,Peer hit peer's target,1.220742,0.3240741,-0.6203513,352.0176,130.3129,9.02518,1.196547,0.02710553,-0.8382961,346.5184,132.0943,1.839626
2018/06/21 - 04:00:39.701260,197.5542,31,33,User hit user's target,1.193238,0.3303053,-0.6387974,348.9452,143.9893,3.878353,1.154173,0.0401391,-0.8870546,343.7142,151.2458,0.6382743
2018/06/21 - 04:00:40.814653,198.6665,31,34,Peer hit peer's target,1.147282,0.3345073,-0.6737528,343.4487,293.5632,347.2466,0.8995428,0.05396092,-0.5643011,329.1555,290.393,359.7013
2018/06/21 - 04:00:41.724558,199.5775,32,34,User hit user's target,1.031207,0.2839344,-0.8176299,12.0368,268.3507,359.1078,0.8679368,-0.1523981,-0.7744334,20.19926,260.3754,358.6961
2018/06/21 - 04:00:43.047314,200.8997,33,34,User hit user's target,1.179863,0.3295684,-0.692765,346.6289,353.2557,351.2373,1.111418,-0.0290691,-0.3666846,350.4998,344.391,358.7824
2018/06/21 - 04:00:43.125086,200.9777,33,33,Peer missed,1.180293,0.3299485,-0.695048,346.5609,355.4932,351.9847,1.126059,-0.02587023,-0.3580975,350.6964,346.6695,357.7174
2018/06/21 - 04:00:44.436889,202.289,33,34,Peer hit peer's target,1.089826,0.3278507,-0.7203043,348.0462,318.2843,7.483347,1.031375,-0.03894709,-0.4852016,347.3136,311.2476,6.631679
2018/06/21 - 04:00:45.137313,202.9892,34,34,User hit user's target,1.095292,0.3222374,-0.7037095,353.4751,311.3463,1.498631,0.977939,-0.06315797,-0.4730852,0.2732159,305.8199,4.924891
2018/06/21 - 04:00:45.492365,203.3447,33,34,User missed,1.104586,0.3285429,-0.6948802,349.6448,312.5299,358.6813,0.9509209,-0.0140651,-0.4704199,351.2906,304.8787,3.087905
2018/06/21 - 04:00:47.280191,205.1336,34,34,User hit user's target,1.104074,0.3269356,-0.6980661,349.3032,305.9376,3.681128,0.9655122,-0.06898914,-0.5319538,353.0337,295.8645,0.7649981
2018/06/21 - 04:00:47.703207,205.5565,34,35,Peer hit peer's target,1.110829,0.3288676,-0.6851216,348.8646,314.8793,0.4695358,0.987365,-0.06605183,-0.4680297,353.4112,309.7796,1.052491
2018/06/21 - 04:00:47.970493,205.8229,34,34,Peer missed,1.117157,0.3335212,-0.6855056,345.6239,318.2704,359.6957,1.005258,-0.04402398,-0.4527397,347.0444,314.8737,359.1703
2018/06/21 - 04:00:49.393235,207.2452,35,34,User hit user's target,1.117084,0.329905,-0.6971083,349.2538,317.5247,357.4479,0.9545248,-0.09298766,-0.434509,1.81294,315.6046,359.3616
2018/06/21 - 04:00:50.092304,207.9448,35,33,Peer missed,1.100046,0.3062729,-0.6760386,6.272046,316.7681,359.2918,0.9739711,-0.1212561,-0.5150255,355.6478,297.7949,5.120284
2018/06/21 - 04:00:51.125507,208.9781,36,33,User hit user's target,1.084344,0.2977986,-0.6733259,11.23386,313.5491,359.0615,0.9511176,-0.1232329,-0.503666,4.686534,303.3874,358.1456
2018/06/21 - 04:00:51.380828,209.2337,36,34,Peer hit peer's target,1.093357,0.3072344,-0.6768282,5.809538,316.6081,359.0241,0.9536113,-0.08437711,-0.4539683,354.9126,313.3257,359.5255
2018/06/21 - 04:00:52.581616,210.4342,36,35,Peer hit peer's target,1.165632,0.3408547,-0.6958606,340.9866,349.9639,355.383,1.090759,-0.02394406,-0.392995,338.7971,327.2194,1.550348
2018/06/21 - 04:00:54.037739,211.8896,35,35,User missed,1.15727,0.3481598,-0.7279924,334.328,293.2037,1.639486,0.9846235,0.07532446,-0.5696387,320.9553,285.6329,359.9431
2018/06/21 - 04:00:54.426723,212.2793,36,35,User hit user's target,1.17229,0.3503054,-0.7038674,332.5173,305.3282,353.7007,0.9625412,0.03676843,-0.4856432,335.8933,304.6472,355.3554
2018/06/21 - 04:00:55.481058,213.3337,36,36,Peer hit peer's target,1.162425,0.3487981,-0.7022241,334.1221,325.9795,354.9813,1.039328,0.005748351,-0.4517383,337.0812,316.8406,355.0227
