Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:44:13.0106937,135.8916,0.2306544,-0.05878584,-0.2600497,0.3434353,354.1358,2.941129,0.3380801,-0.6715764,-0.109403,316.9657,352.8572,2.41594,0,0
2018/07/10 - 10:44:13.0206660,135.9032,0.2305935,-0.05880648,-0.2600264,0.3341648,354.1209,2.942831,0.338081,-0.6715775,-0.1094032,316.9605,352.8458,2.424013,0,0
2018/07/10 - 10:44:13.0326328,135.914,0.230527,-0.05879014,-0.2600076,0.3545282,354.1064,2.940975,0.3380796,-0.6715754,-0.1094027,316.9681,352.8335,2.443233,0,0
2018/07/10 - 10:44:13.0436041,135.9249,0.2304508,-0.05880111,-0.2599751,0.3576593,354.0862,2.92792,0.3380767,-0.6715749,-0.1094032,316.9683,352.8246,2.46571,0,0
2018/07/10 - 10:44:13.0545748,135.9365,0.2304055,-0.05883138,-0.2599224,0.3384853,354.0858,2.955646,0.3380693,-0.6715743,-0.1094048,316.9671,352.8105,2.514454,0,0
2018/07/10 - 10:44:13.0655529,135.947,0.230351,-0.05881486,-0.2598979,0.3528551,354.0849,2.947685,0.3380504,-0.6715598,-0.1094038,317.0231,352.8131,2.596001,0,0
2018/07/10 - 10:44:13.0825043,135.9585,0.2301737,-0.05885529,-0.2598221,0.3670599,354.0408,2.959576,0.3380119,-0.6715272,-0.1094006,317.1525,352.8466,2.731845,0,0
2018/07/10 - 10:44:13.0884885,135.9757,0.2301195,-0.05885484,-0.2598093,0.3733947,354.0368,2.949206,0.3379731,-0.6715045,-0.1094009,317.2323,352.7835,2.971998,0,0
2018/07/10 - 10:44:13.0994711,135.9824,0.230006,-0.05888249,-0.2597684,0.378986,354.0098,2.956784,0.3379086,-0.6714551,-0.1093967,317.4103,352.5922,3.458819,0,0
2018/07/10 - 10:44:13.1094326,135.9915,0.2298467,-0.05893493,-0.259728,0.370867,353.9518,2.947897,0.337797,-0.6713609,-0.1093848,317.7808,352.5436,4.002143,0,0
2018/07/10 - 10:44:13.1214000,136.0027,0.2295977,-0.05901034,-0.2596823,0.3599961,353.856,2.933392,0.3376994,-0.6712008,-0.1093417,318.4334,352.2921,4.674169,0,0
2018/07/10 - 10:44:13.1323710,136.0139,0.2292805,-0.05907767,-0.2596503,0.3926441,353.6498,2.914824,0.3376036,-0.6709713,-0.1092661,319.386,351.7886,5.575906,0,0
2018/07/10 - 10:44:13.1429739,136.0249,0.2289659,-0.05913667,-0.259663,0.4376279,353.4527,2.896724,0.3375682,-0.670647,-0.1091302,320.7627,350.7232,6.734736,0,0
2018/07/10 - 10:44:13.1539435,136.0358,0.2286769,-0.05920563,-0.2596593,0.442743,353.2151,2.820807,0.3375664,-0.6702347,-0.1089344,322.5549,348.6652,8.671513,0,0
