Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:49.7194643,0.7999517,-0.006029775,-0.03180108,-0.1460958,3.419364,19.99649,0.204023,0.1463463,-0.4967894,0.04987487,357.8309,18.17729,348.9818,0,0
2018/07/10 - 10:33:49.7304338,0.8109688,-0.006021687,-0.03083266,-0.146556,2.722326,20.04834,0.1641575,0.1504668,-0.4780552,0.04737249,355.3655,18.58169,349.0591,0,0
2018/07/10 - 10:33:49.7414068,0.8221112,-0.006054183,-0.02975641,-0.147008,1.961493,20.13941,0.08210392,0.150703,-0.4469709,0.04294945,353.2212,18.85015,349.7504,0,0
2018/07/10 - 10:33:49.7524324,0.8332125,-0.006072882,-0.02864212,-0.1475276,1.16495,20.20563,359.9777,0.1501182,-0.4384331,0.04063337,351.1615,19.16297,350.4025,0,0
2018/07/10 - 10:33:49.7633972,0.8439514,-0.006083025,-0.02751113,-0.1481543,0.3513466,20.26282,359.9228,0.1494812,-0.4296839,0.03797226,349.0898,19.58991,350.9657,0,0
2018/07/10 - 10:33:49.7753700,0.855392,-0.006157653,-0.02629676,-0.1488759,359.6319,20.38445,359.9166,0.1489695,-0.4211002,0.03506073,347.2275,19.96979,351.3475,0,0
2018/07/10 - 10:33:49.7853389,0.8665971,-0.0062293,-0.02516617,-0.1496274,358.9157,20.49478,359.8652,0.1486718,-0.4126713,0.03177559,345.5352,20.51835,351.415,0,0
2018/07/10 - 10:33:49.7979446,0.8775966,-0.006254639,-0.02410808,-0.1505179,358.2026,20.60883,359.9054,0.1482702,-0.4045842,0.02869862,344.0335,20.981,351.4944,0,0
2018/07/10 - 10:33:49.8089167,0.8889208,-0.006419025,-0.02298438,-0.1513538,357.5486,20.76331,359.7987,0.1476759,-0.3966352,0.02594745,342.6331,21.27714,351.5093,0,0
2018/07/10 - 10:33:49.8188896,0.8998944,-0.006511731,-0.02191387,-0.1523317,356.9111,20.95897,359.8629,0.1472642,-0.389165,0.0234726,341.2467,21.50227,351.5783,0,0
2018/07/10 - 10:33:49.8308584,0.9111407,-0.006599395,-0.02085283,-0.1533287,356.2438,21.13584,359.8745,0.1474734,-0.3821484,0.0208798,339.9948,22.27631,351.5111,0,0
2018/07/10 - 10:33:49.8418504,0.9221951,-0.006717914,-0.0198023,-0.154391,355.5449,21.32066,359.8488,0.1478226,-0.3759509,0.01829479,338.7082,23.4505,351.5658,0,0
2018/07/10 - 10:33:49.8527975,0.9335409,-0.00684171,-0.01877664,-0.1554709,354.7891,21.51787,359.8024,0.148004,-0.369745,0.01600053,337.5397,24.26597,351.785,0,0
2018/07/10 - 10:33:49.8637711,0.9444399,-0.00695316,-0.01762787,-0.1565991,354.0874,21.65598,359.7133,0.1481244,-0.3645021,0.01410185,336.4532,24.58615,351.9759,0,0
2018/07/10 - 10:33:49.8757462,0.9555793,-0.007119742,-0.01654708,-0.1577176,353.3358,21.94828,359.6835,0.1480622,-0.3592511,0.01245577,335.2989,24.66183,352.1139,0,0
2018/07/10 - 10:33:49.8857102,0.9666044,-0.007266817,-0.0155143,-0.1589293,352.61,22.19046,359.6252,0.1479631,-0.3547815,0.01093201,334.3845,24.4341,352.4196,0,0
2018/07/10 - 10:33:49.8972484,0.9778425,-0.007411446,-0.01460118,-0.1602961,351.9034,22.45448,359.6042,0.1480005,-0.3504644,0.00929659,333.5773,24.33862,352.6689,0,0
2018/07/10 - 10:33:49.9092172,0.9888729,-0.007591763,-0.01370295,-0.1616706,351.2456,22.76647,359.5736,0.1482982,-0.3467427,0.007754166,332.9033,24.31653,352.7727,0,0
2018/07/10 - 10:33:49.9191915,0.9999201,-0.00783703,-0.012856,-0.1630479,350.5986,23.06827,359.4429,0.1490073,-0.3434821,0.006657334,332.825,24.47341,352.6716,0,0
2018/07/10 - 10:33:49.9311874,1.011241,-0.008003715,-0.01201679,-0.1644527,349.9682,23.31255,359.4147,0.14992,-0.3403592,0.005794606,332.873,24.75515,352.4457,0,0
