Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
1.496568,0,0,0,0,0,0,-0.1318422,-0.06783301,-0.01301276,339.5779,319.805,3.316625
1.504112,0,0,0,0,0,0,-0.1318989,-0.06787354,-0.01297717,339.7197,319.8686,3.436284
1.51203,0,0,0,0,0,0,-0.1319601,-0.06792105,-0.0129445,339.8902,319.9044,3.574541
1.520044,0,0,0,0,0,0,-0.1320168,-0.06796852,-0.01291974,340.1244,319.861,3.695894
1.526837,0,0,0,0,0,0,-0.1320661,-0.06800444,-0.01288794,340.4207,319.7888,3.756821
1.535137,0,0,0,0,0,0,-0.1320981,-0.06802312,-0.0128584,340.6818,319.7207,3.760537
1.541558,0,0,0,0,0,0,-0.1321099,-0.06800342,-0.01279882,340.9699,319.7145,3.612381
1.547081,0,0,0,0,0,0,-0.1321059,-0.06796979,-0.01274473,341.0399,319.8398,3.468018
1.553265,0,0,0,0,0,0,-0.1320794,-0.06790931,-0.01268546,341.0187,320.0306,3.246066
1.559782,0,0,0,0,0,0,-0.1320232,-0.06781726,-0.01262573,340.9549,320.2282,2.915106
1.568375,0,0,0,0,0,0,-0.1319318,-0.06768823,-0.01256443,340.8341,320.4433,2.456213
1.576048,0,0,0,0,0,0,-0.1317944,-0.06751586,-0.01250727,340.5846,320.7059,1.859484
1.585358,0,0,0,0,0,0,-0.1316124,-0.06732768,-0.01250161,340.2451,320.8255,1.215474
1.5934,0,0,0,0,0,0,-0.1313609,-0.06709214,-0.01252826,339.7515,320.8982,0.4105569
1.601251,0,0,0,0,0,0,-0.1311166,-0.06687897,-0.01257002,339.248,320.9406,359.6785
1.608725,0,0,0,0,0,0,-0.1308662,-0.06667211,-0.01262168,338.7496,320.943,358.9535
1.616829,0,0,0,0,0,0,-0.1305947,-0.06645944,-0.01268517,338.236,320.8991,358.1902
1.624421,0,0,0,0,0,0,-0.1303041,-0.06625021,-0.01277313,337.6932,320.7747,357.4269
1.632274,0,0,0,0,0,0,-0.1300509,-0.06608134,-0.0128628,337.2041,320.6343,356.8044
