Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:22.704302,2.647012,0.923246,0.3325398,-0.6487657,350.5281,292.3138,358.9842,0.6959343,-0.05802948,-0.4386174,345.8453,293.1538,350.1285
2018/06/21 - 03:57:22.716275,2.658199,0.9230016,0.3324125,-0.6490418,350.5765,292.0702,359.0957,0.6957766,-0.05827267,-0.4404474,345.7884,292.7668,350.2725
2018/06/21 - 03:57:22.727242,2.669304,0.9226975,0.3322981,-0.6493952,350.6455,291.7932,359.1048,0.6956086,-0.05851014,-0.4423124,345.7439,292.4041,350.4481
2018/06/21 - 03:57:22.737214,2.679891,0.9224409,0.3322466,-0.6497366,350.7468,291.5162,359.1602,0.6954733,-0.05872932,-0.4443254,345.6626,292.0016,350.6862
2018/06/21 - 03:57:22.750181,2.69235,0.9222364,0.3321163,-0.6500258,350.7536,291.2052,359.2242,0.6952751,-0.05897139,-0.4463517,345.5862,291.5873,350.9231
2018/06/21 - 03:57:22.762148,2.705096,0.9220931,0.3320442,-0.6503705,350.8145,290.8549,359.282,0.6950043,-0.05924251,-0.448336,345.5292,291.1863,351.1205
2018/06/21 - 03:57:22.772122,2.714157,0.9218841,0.3319546,-0.650762,350.8822,290.5147,359.3778,0.6946709,-0.05952975,-0.4503713,345.5046,290.7819,351.2853
2018/06/21 - 03:57:22.782095,2.725101,0.9216596,0.33179,-0.6511691,350.8897,290.0634,359.4899,0.6942989,-0.05986531,-0.452417,345.5041,290.3615,351.4112
2018/06/21 - 03:57:22.794075,2.73648,0.9214166,0.3317286,-0.6517308,350.9934,289.5875,359.5557,0.6938981,-0.06027899,-0.4544381,345.5324,289.9117,351.5434
2018/06/21 - 03:57:22.804035,2.747037,0.9211046,0.3316553,-0.6523546,351.029,288.9781,359.6636,0.6933897,-0.06077672,-0.4565289,345.606,289.4511,351.6908
2018/06/21 - 03:57:22.816003,2.758128,0.9207603,0.33168,-0.6530541,351.0518,288.2766,359.7673,0.6928163,-0.06133045,-0.4586742,345.6895,288.9875,351.8701
2018/06/21 - 03:57:22.827973,2.770142,0.920418,0.3318588,-0.653929,351.0441,287.5076,359.7329,0.6921934,-0.06199922,-0.4609129,345.7903,288.481,352.0889
2018/06/21 - 03:57:22.837947,2.781012,0.9199969,0.3318812,-0.6547771,350.8835,286.6839,359.7873,0.6915218,-0.06270251,-0.4631861,345.8729,288.0389,352.2753
2018/06/21 - 03:57:22.848916,2.791731,0.9196597,0.3319862,-0.6557776,350.7986,285.7453,359.7755,0.6906308,-0.06345872,-0.4656063,345.9439,287.6227,352.5401
2018/06/21 - 03:57:22.859887,2.803143,0.9193662,0.3320929,-0.6568334,350.7445,284.7888,359.8032,0.6897107,-0.06419797,-0.468135,345.9613,287.1597,352.9156
2018/06/21 - 03:57:22.872852,2.815181,0.919211,0.3322255,-0.6579868,350.7144,283.7381,359.8343,0.6888511,-0.06493362,-0.4707231,345.9337,286.6589,353.3641
2018/06/21 - 03:57:22.882845,2.825707,0.9191466,0.3323235,-0.659168,350.6714,282.6191,359.8673,0.6880242,-0.0656292,-0.4733801,345.8546,286.087,353.9535
2018/06/21 - 03:57:22.894793,2.836861,0.9190387,0.332419,-0.6604476,350.6011,281.5497,359.891,0.6872046,-0.06625391,-0.4760823,345.7223,285.5334,354.6351
2018/06/21 - 03:57:22.904767,2.847999,0.9189911,0.3325657,-0.6617442,350.4604,280.3858,359.8343,0.6864076,-0.06684432,-0.4787959,345.5894,285.1138,355.1985
2018/06/21 - 03:57:22.917732,2.860012,0.918983,0.3328114,-0.6630417,350.3311,279.2892,359.818,0.6855803,-0.06745478,-0.4816119,345.5038,284.6253,355.7507
2018/06/21 - 03:57:22.928705,2.871348,0.9189575,0.3330833,-0.6643162,350.1754,278.2374,359.7992,0.6847476,-0.06815258,-0.4846221,345.4602,283.9381,356.3691
2018/06/21 - 03:57:22.938675,2.88162,0.9188542,0.3333205,-0.6655144,349.9526,277.2072,359.795,0.6839074,-0.06882331,-0.4877398,345.3697,283.1217,357.0154
