Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:32:53.7231142,1.455407,0.01759456,0.01114189,-0.02265547,354.1379,31.96505,1.228228,0.1144182,-0.4403957,0.1161743,345.3789,14.37806,348.0697
2018/06/28 - 02:32:53.7330874,1.466555,0.01706028,0.01109804,-0.0222961,354.2604,31.14561,1.361047,0.1141558,-0.4405091,0.1161641,345.3882,14.32829,348.1286
2018/06/28 - 02:32:53.7460529,1.477097,0.0165193,0.01099344,-0.02194954,354.3566,30.18845,1.521443,0.1139099,-0.4406021,0.1161933,345.379,14.26176,348.135
2018/06/28 - 02:32:53.7560457,1.489018,0.0159023,0.01086014,-0.02180527,354.4237,29.24036,1.651657,0.1136641,-0.4407027,0.116236,345.3771,14.1869,348.1342
2018/06/28 - 02:32:53.7680182,1.499808,0.01518537,0.01074447,-0.02178451,354.5535,28.23968,1.833303,0.1135214,-0.4407562,0.1162755,345.3587,14.13318,348.1162
2018/06/28 - 02:32:53.7789647,1.51066,0.0146121,0.01064954,-0.0212916,354.5998,27.13956,1.990756,0.1134106,-0.4407963,0.1163905,345.359,14.07474,348.0847
2018/06/28 - 02:32:53.7889507,1.522048,0.01384034,0.01065751,-0.02091836,354.7292,26.01639,2.027359,0.113366,-0.440801,0.1165611,345.3795,14.03875,348.0417
2018/06/28 - 02:32:53.8019029,1.533122,0.01309098,0.01057589,-0.02062466,354.7678,24.87132,2.140655,0.1133339,-0.4407997,0.1167297,345.4309,13.99669,347.9796
2018/06/28 - 02:32:53.8128738,1.544842,0.01233425,0.01056735,-0.02029652,354.8641,23.73409,2.248111,0.1133422,-0.440798,0.1169002,345.5007,13.95546,347.8654
2018/06/28 - 02:32:53.8248438,1.55627,0.01158813,0.0104203,-0.0201016,354.8559,22.5265,2.372773,0.1133637,-0.4408081,0.1169671,345.5495,13.93789,347.776
2018/06/28 - 02:32:53.8348392,1.567315,0.01085633,0.01055975,-0.01920673,354.9797,21.28921,2.454121,0.1133905,-0.4408213,0.1169941,345.5959,13.9123,347.6855
