Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
17.04503,-64,-53,Peer missed,-0.8745437,0.2889717,-0.2316379,347.2151,81.72956,354.0735,-0.5276134,-0.09725207,-0.3072789,357.5935,85.65562,64.24716
17.12336,-65,-53,User missed,-0.8736466,0.2885801,-0.23267,347.7611,82.82104,354.118,-0.5285513,-0.08480363,-0.3136245,353.0456,85.62613,65.5891
17.24506,-64,-54,Peer hit user's target,-0.8741268,0.2890705,-0.2347464,347.1887,83.90773,353.8055,-0.5377338,-0.06502717,-0.3096053,350.2605,84.84796,65.81557
17.34516,-64,-55,Peer missed,-0.8744856,0.2892586,-0.2370747,347.2566,85.58885,353.7847,-0.5464854,-0.04052567,-0.3093928,344.61,84.48744,66.73944
17.36735,-65,-54,User hit peer's target,-0.874908,0.2890299,-0.2377931,347.4108,86.04465,353.7466,-0.5431765,-0.03573348,-0.3149213,342.7996,86.31522,65.37519
17.5897,-66,-54,User missed,-0.8802556,0.2920248,-0.2408974,344.689,87.94874,353.6568,-0.5245813,-0.0245959,-0.3200119,344.1057,85.26898,65.60432
17.83424,-67,-54,User missed,-0.902715,0.3090863,-0.2380259,328.9553,82.86926,357.3524,-0.5671605,-0.007331372,-0.288113,337.8515,72.46765,62.84676
17.90111,-67,-55,Peer missed,-0.908119,0.3111895,-0.2358549,326.8364,79.60504,359.3394,-0.5750299,-0.005978326,-0.2785907,337.3404,70.59373,62.50759
18.07825,-68,-55,User missed,-0.9231229,0.3129667,-0.2268502,324.4258,70.35384,3.664072,-0.6085864,-0.008096218,-0.2425389,335.981,58.59011,66.42336
18.10095,-68,-56,Peer missed,-0.9236968,0.3129343,-0.226631,324.4084,70.05567,3.688535,-0.6096351,-0.009015759,-0.2401139,336.1376,58.23575,67.09087
18.31203,-69,-56,User missed,-0.9230164,0.3093,-0.222236,328.478,68.50096,3.461453,-0.6190457,0.023462,-0.2438427,330.2373,64.00773,64.75823
18.32337,-68,-57,Peer hit user's target,-0.9230164,0.3093,-0.222236,328.478,68.50096,3.461453,-0.6190457,0.023462,-0.2438427,330.2373,64.00773,64.75823
18.46773,-68,-58,Peer missed,-0.9204865,0.3082227,-0.224315,329.9507,71.80516,1.785184,-0.6108761,0.04936607,-0.2674648,327.3554,74.95318,60.54934
18.56755,-69,-57,User hit peer's target,-0.9189398,0.3079125,-0.2259959,330.7847,73.906,0.8237627,-0.5954631,0.04919253,-0.284954,329.3721,78.19962,61.3973
18.61214,-69,-58,Peer missed,-0.9184478,0.3079053,-0.226847,330.924,74.78104,0.4672035,-0.5913344,0.04838248,-0.2899897,330.7079,78.82877,61.01699
18.81205,-70,-58,User missed,-0.915607,0.3081026,-0.2402794,331.9054,87.62956,356.6511,-0.5714033,0.03136529,-0.3320587,335.0155,85.98263,63.39462
18.94542,-70,-59,Peer missed,-0.9197015,0.3108562,-0.2553881,331.905,104.2081,353.4869,-0.5900397,0.0861967,-0.4277426,324.3044,111.5441,48.70128
19.01209,-70,-60,Peer missed,-0.9239713,0.3113733,-0.262384,332.6462,111.491,352.0193,-0.6090635,0.111713,-0.4890628,321.8677,125.7041,40.92647
19.10068,-71,-60,User missed,-0.9314188,0.3117688,-0.2703349,333.6542,118.8632,350.7458,-0.6283446,0.1205787,-0.5627718,325.4705,131.4075,40.10288
19.20086,-71,-61,Peer missed,-0.9381757,0.3117889,-0.277945,334.3722,124.0666,349.4532,-0.6658065,0.1323628,-0.6079226,324.7711,142.1496,35.42164
19.36747,-72,-61,User missed,-0.9534768,0.3102254,-0.2893406,336.6765,130.8519,347.5631,-0.7101912,0.1324428,-0.6663232,328.6515,152.2076,33.38513
19.47898,-72,-62,Peer missed,-0.9605709,0.3090088,-0.2923814,338.1143,132.7186,346.7944,-0.7135668,0.1095697,-0.6885725,334.805,153.9088,34.5527
19.65643,-73,-62,User missed,-0.9674186,0.3039523,-0.2971357,343.0855,138.7666,346.9205,-0.7619608,0.06303547,-0.7534742,342.8106,165.047,37.14235
