Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 03:28:54.8158193,1.345273,-0.04228292,0.04062035,-0.1720622,345.7142,217.3101,358.6115,-0.2689781,-0.3634702,-0.3382669,9.539187,224.1969,359.6737
2018/06/28 - 03:28:54.8277869,1.355831,-0.04252466,0.04086461,-0.1721473,345.649,217.2897,358.6427,-0.2691557,-0.3627384,-0.3385516,9.449628,223.7423,358.8318
2018/06/28 - 03:28:54.8387579,1.367093,-0.04269247,0.04106532,-0.1721577,345.5932,217.2704,358.6187,-0.2691898,-0.3620239,-0.3388876,9.43197,223.2137,357.904
2018/06/28 - 03:28:54.8507282,1.377926,-0.04280476,0.04121581,-0.1722022,345.5927,217.2156,358.597,-0.269208,-0.3613547,-0.3392893,9.470759,222.6916,356.9833
2018/06/28 - 03:28:54.8606994,1.388637,-0.04312534,0.04146213,-0.1724303,345.5331,217.0901,358.5549,-0.2690524,-0.3607051,-0.3397525,9.509102,222.2034,356.0305
2018/06/28 - 03:28:54.8716695,1.399592,-0.04332399,0.04169029,-0.1727936,345.512,217.0634,358.4831,-0.268815,-0.3600483,-0.3402509,9.480286,221.8277,355.1887
2018/06/28 - 03:28:54.8836378,1.410917,-0.04353819,0.04188216,-0.1731163,345.498,217.0185,358.4758,-0.268352,-0.3594474,-0.3409146,9.539101,221.6844,354.623
2018/06/28 - 03:28:54.8956063,1.422101,-0.04376013,0.04218378,-0.1734068,345.4853,216.92,358.3682,-0.2678754,-0.3589265,-0.3416227,9.748808,221.6354,354.3036
2018/06/28 - 03:28:54.9045816,1.434418,-0.04396497,0.042451,-0.1736179,345.4773,216.8385,358.3123,-0.2672828,-0.3585267,-0.3422123,10.10523,221.6744,354.214
2018/06/28 - 03:28:54.9155526,1.443691,-0.04419,0.04265372,-0.173761,345.4537,216.8085,358.3454,-0.2666855,-0.3581786,-0.3427352,10.39448,221.6583,354.0223
2018/06/28 - 03:28:54.9275206,1.45478,-0.04428664,0.04270104,-0.1737499,345.4662,216.79,358.3774,-0.2659493,-0.3579509,-0.3432816,10.56383,221.6432,353.9604
2018/06/28 - 03:28:54.9374935,1.466115,-0.04442535,0.04282046,-0.1737352,345.5599,216.7512,358.3802,-0.2650705,-0.3577201,-0.3439074,10.56574,221.7309,354.1585
2018/06/28 - 03:28:54.9494697,1.476884,-0.04465723,0.04291842,-0.1738477,345.5773,216.6978,358.3759,-0.2638644,-0.3573585,-0.3444915,10.32884,221.9119,354.7807
2018/06/28 - 03:28:54.9594346,1.488285,-0.0449037,0.0430901,-0.1739406,345.6117,216.629,358.3955,-0.2622382,-0.3565281,-0.3447944,9.361784,222.023,355.4606
2018/06/28 - 03:28:54.9763892,1.498574,-0.04502344,0.04324499,-0.1740757,345.5611,216.6257,358.3599,-0.2605917,-0.3559502,-0.3451642,8.534739,221.882,356.0394
2018/06/28 - 03:28:54.9843681,1.510345,-0.04531337,0.04359355,-0.1743508,345.4734,216.5666,358.3829,-0.2591057,-0.3556826,-0.345555,8.204438,221.4783,356.5128
2018/06/28 - 03:28:54.9933440,1.523037,-0.04550125,0.04400587,-0.1746319,345.3787,216.4934,358.3387,-0.2578022,-0.3555175,-0.3459179,8.062273,221.1597,356.9505
2018/06/28 - 03:28:55.0043389,1.532932,-0.04561472,0.04436136,-0.1747526,345.2757,216.4054,358.3683,-0.2566799,-0.3553862,-0.3460515,7.929859,221.1001,357.4216
