Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:39:55.2577777,1.122697,0.0701302,-0.008047397,0.007978922,10.15033,323.416,4.880703,-0.1143967,-0.3955649,0.1337188,5.645789,320.2519,19.59006
2018/06/29 - 02:39:55.2697459,1.133709,0.07025299,-0.007570827,0.007464536,9.699641,324.4877,4.996759,-0.1124313,-0.3943616,0.1355922,5.374224,320.9802,19.59062
2018/06/29 - 02:39:55.2807163,1.145055,0.0704954,-0.006973597,0.00696194,9.31194,325.606,5.12203,-0.1104301,-0.3930917,0.1373532,5.033723,321.7956,19.72217
2018/06/29 - 02:39:55.2916865,1.155601,0.07085665,-0.006341801,0.006507282,8.734715,326.9219,5.308216,-0.1083444,-0.3918006,0.1390969,4.74283,322.7142,19.85593
2018/06/29 - 02:39:55.3046531,1.167052,0.07127939,-0.005602995,0.006062776,8.019807,328.3839,5.431493,-0.1061967,-0.3903683,0.1408104,4.547451,323.7006,20.09074
2018/06/29 - 02:39:55.3136282,1.179574,0.07175798,-0.004840995,0.005716579,7.261303,329.8902,5.629116,-0.1040613,-0.3888471,0.1425176,4.336466,324.7473,20.46511
2018/06/29 - 02:39:55.3255962,1.189256,0.07242822,-0.00400924,0.005303262,6.495654,331.4584,5.897565,-0.1019414,-0.3873447,0.1441844,4.074317,325.7559,20.86812
2018/06/29 - 02:39:55.3355687,1.200683,0.07305281,-0.003255878,0.004822817,5.743947,333.0298,6.1488,-0.09980925,-0.3857488,0.1457715,3.771903,326.5721,21.23736
2018/06/29 - 02:39:55.3480982,1.211379,0.0737887,-0.002396929,0.004160932,4.976703,334.5053,6.29285,-0.09754079,-0.3841112,0.1473475,3.378853,327.3189,21.43293
2018/06/29 - 02:39:55.3580674,1.222526,0.07453402,-0.00149073,0.003509729,4.085413,335.9106,6.414905,-0.09502716,-0.3823695,0.1489328,2.881628,328.1544,21.37357
2018/06/29 - 02:39:55.3700362,1.233548,0.0751684,-0.0003413236,0.002714382,3.135823,337.3714,6.450024,-0.09232965,-0.3806197,0.1504454,2.302327,329.1538,21.17457
2018/06/29 - 02:39:55.3810001,1.245414,0.07583009,0.0008131333,0.001978579,2.211847,338.715,6.422431,-0.0894215,-0.3787565,0.1516844,1.482362,330.3086,20.87303
2018/06/29 - 02:39:55.3909602,1.255996,0.07659921,0.001832575,0.001028535,1.308348,339.9883,6.55276,-0.08660312,-0.3768046,0.152701,0.4977473,331.3737,20.72553
2018/06/29 - 02:39:55.4039271,1.266872,0.0772208,0.002810833,-8.267537E-05,0.5594711,341.1275,6.617505,-0.08416869,-0.3748862,0.1536813,359.4773,332.2707,20.75265
2018/06/29 - 02:39:55.4138991,1.278544,0.0776483,0.003746296,-0.001182482,359.8706,342.1517,6.602497,-0.08217565,-0.3731677,0.1548685,358.8284,332.9466,20.74402
2018/06/29 - 02:39:55.4258680,1.289615,0.07792059,0.00448743,-0.002356729,359.1757,342.8929,6.59975,-0.08065987,-0.3714904,0.1561588,358.4663,333.3198,20.61743
2018/06/29 - 02:39:55.4368378,1.300616,0.07805981,0.005265117,-0.003505004,358.5627,343.5122,6.55195,-0.07920409,-0.3697799,0.157426,358.036,333.6227,20.5029
2018/06/29 - 02:39:55.4486764,1.311692,0.07801002,0.005922973,-0.004788146,357.9143,343.8727,6.422646,-0.07762973,-0.3681181,0.1586305,357.4917,334.0862,20.36769
2018/06/29 - 02:39:55.4586495,1.322795,0.07786859,0.006641816,-0.006063947,357.3253,344.1536,6.263398,-0.07669751,-0.3665829,0.1598122,357.0862,334.4627,20.30425
2018/06/29 - 02:39:55.4706175,1.333762,0.0776173,0.007260617,-0.007372954,356.7468,344.2034,6.169001,-0.07574399,-0.3651898,0.1609558,356.7565,334.9084,20.30033
2018/06/29 - 02:39:55.4825855,1.345201,0.0771994,0.00779944,-0.008650012,356.1342,344.1825,6.056491,-0.07501764,-0.3638224,0.1619534,356.3178,335.3409,20.28487
2018/06/29 - 02:39:55.4935565,1.356602,0.0767727,0.008326723,-0.009952993,355.5293,343.9591,5.948524,-0.07459105,-0.3623213,0.1627271,355.7076,335.5253,20.3459
2018/06/29 - 02:39:55.5065217,1.369242,0.07611678,0.009007731,-0.01135154,354.9567,343.7014,5.756677,-0.07433284,-0.3608097,0.1634213,355.0724,335.5031,20.4894
2018/06/29 - 02:39:55.5145003,1.380458,0.0755848,0.009653935,-0.01258286,354.2747,343.3718,5.685358,-0.07441816,-0.3593097,0.164035,354.4787,335.3282,20.57306
2018/06/29 - 02:39:55.5264683,1.389734,0.0748556,0.01045487,-0.01395957,353.4347,342.8851,5.516091,-0.07453072,-0.3577867,0.1646836,353.9012,335.1554,20.5923
2018/06/29 - 02:39:55.5354451,1.400561,0.07426119,0.01140952,-0.01532073,352.5052,342.3582,5.279032,-0.07479233,-0.3562155,0.1653249,353.313,334.9673,20.58697
2018/06/29 - 02:39:55.5484103,1.411479,0.07369005,0.01230066,-0.01661801,351.3358,341.9641,4.984332,-0.07496055,-0.3547164,0.1660266,352.8911,334.8738,20.60752
2018/06/29 - 02:39:55.5583835,1.423088,0.07337027,0.01329822,-0.01800242,350.2268,341.7678,4.731261,-0.07520334,-0.3531767,0.1668236,352.6116,334.9097,20.64073
2018/06/29 - 02:39:55.5703531,1.434302,0.07314146,0.01429569,-0.01935052,349.2177,341.6825,4.55149,-0.07528759,-0.3515908,0.167652,352.4358,335.1029,20.66851
2018/06/29 - 02:39:55.5823197,1.445308,0.07313713,0.01521262,-0.02070062,348.232,341.7324,4.618173,-0.07503767,-0.3500243,0.1684165,352.1224,335.4089,20.54258
2018/06/29 - 02:39:55.5932890,1.456757,0.07319701,0.01609409,-0.02203406,347.2884,341.7389,4.730541,-0.07462707,-0.3483899,0.1692174,351.8055,335.6673,20.18831
2018/06/29 - 02:39:55.6052578,1.468228,0.0732519,0.01691722,-0.0233549,346.3277,341.6711,4.871198,-0.07425999,-0.3466439,0.1698895,351.3474,335.7229,19.80474
2018/06/29 - 02:39:55.6152324,1.479503,0.07321778,0.01772292,-0.02463052,345.4143,341.4707,4.968666,-0.07381939,-0.3448419,0.1704694,350.6776,335.7792,19.364
2018/06/29 - 02:39:55.6262017,1.490443,0.07310121,0.0184927,-0.02588866,344.5587,341.191,4.992004,-0.07328545,-0.3429749,0.1710212,349.8983,335.8748,18.81636
2018/06/29 - 02:39:55.6371715,1.501213,0.07294065,0.01921223,-0.02711153,343.8386,340.7763,5.050744,-0.07288673,-0.3411771,0.1716479,349.2076,335.9471,18.27987
2018/06/29 - 02:39:55.6481437,1.512537,0.07284097,0.01994105,-0.02836857,343.2108,340.2622,5.088773,-0.07271659,-0.3393887,0.1723459,348.6824,335.8853,17.7509
2018/06/29 - 02:39:55.6601119,1.523331,0.07279311,0.02041686,-0.02946919,342.5068,339.7006,5.146663,-0.072893,-0.337467,0.1730274,348.158,335.7158,17.32533
2018/06/29 - 02:39:55.6700848,1.534778,0.072709,0.02089528,-0.03055857,341.9409,339.1605,5.114214,-0.07345281,-0.3354115,0.1735947,347.5651,335.3608,17.04
2018/06/29 - 02:39:55.6820525,1.545758,0.07261586,0.02128859,-0.03156857,341.3775,338.6198,5.125013,-0.07414787,-0.3332521,0.1740744,346.8951,334.9089,16.86472
2018/06/29 - 02:39:55.6930223,1.557184,0.07273735,0.02170053,-0.0327079,341.0925,337.9705,5.183266,-0.07475417,-0.3311174,0.1745435,346.209,334.583,16.56759
2018/06/29 - 02:39:55.7039936,1.568284,0.07273843,0.02209282,-0.03366842,340.7017,337.304,5.195359,-0.07577003,-0.3288392,0.1748517,345.5263,334.2051,16.18547
